ATIVO,BEST_STEP,BEST_EMBED_DIM,ALPHA_H1,RATIO_H1,BETA_T_H1,BETA_S_H1,L2_H1,ALPHA_M5,RATIO_M5,BETA_T_M5,BETA_S_M5,L2_M5
PETR4,20,80,1.849 ± 0.122,1.176 ± 0.016,1.556 ± 0.023,1.111 ± 0.046,3.713,2.023 ± 0.181,1.081 ± 0.018,1.268 ± 0.005,1.052 ± 0.006,3.699
ITUB4,20,100,1.973 ± 0.153,1.297 ± 0.010,1.546 ± 0.018,0.925 ± 0.019,4.394,2.013 ± 0.170,0.999 ± 0.007,1.603 ± 0.008,1.020 ± 0.012,3.417
VALE3,40,120,2.245 ± 0.281,1.080 ± 0.004,1.503 ± 0.044,0.857 ± 0.063,4.295,2.247 ± 0.247,1.001 ± 0.005,1.653 ± 0.014,0.965 ± 0.010,4.213
WIN$D,45,70,2.200 ± 0.237,1.005 ± 0.010,1.363 ± 0.047,0.941 ± 0.038,3.884,2.270 ± 0.255,0.989 ± 0.003,1.342 ± 0.034,0.942 ± 0.009,3.360
ABEV3,40,60,2.111 ± 0.205,1.070 ± 0.004,1.487 ± 0.031,0.996 ± 0.031,4.195,2.445 ± 0.317,1.001 ± 0.003,1.426 ± 0.017,0.945 ± 0.022,3.040
WDO$N,45,80,2.184 ± 0.234,1.062 ± 0.005,1.377 ± 0.060,0.719 ± 0.066,5.195,2.240 ± 0.225,1.002 ± 0.003,1.681 ± 0.014,1.031 ± 0.005,3.799
BBAS3,20,80,1.904 ± 0.139,1.107 ± 0.021,1.283 ± 0.039,1.007 ± 0.028,4.629,1.999 ± 0.164,0.996 ± 0.010,1.354 ± 0.016,0.996 ± 0.010,3.937
BBDC4,50,90,2.333 ± 0.296,1.024 ± 0.000,0.863 ± 0.071,0.914 ± 0.042,3.708,2.452 ± 0.320,0.999 ± 0.005,1.200 ± 0.028,0.941 ± 0.007,3.642
B3SA3,40,110,2.367 ± 0.297,0.998 ± 0.001,1.504 ± 0.036,0.990 ± 0.041,3.471,2.332 ± 0.278,0.997 ± 0.006,1.687 ± 0.017,1.053 ± 0.012,2.990
WIN$N,40,70,2.312 ± 0.268,1.091 ± 0.009,1.576 ± 0.030,1.019 ± 0.041,3.507,2.254 ± 0.262,0.997 ± 0.002,1.640 ± 0.012,1.015 ± 0.007,3.550
DI1$N,25,30,1.982 ± 0.160,1.046 ± 0.008,1.333 ± 0.050,1.059 ± 0.030,4.735,2.116 ± 0.197,1.001 ± 0.005,1.370 ± 0.021,1.051 ± 0.011,2.941
T10$D,40,100,2.449 ± 0.339,0.997 ± 0.001,1.551 ± 0.027,0.967 ± 0.042,4.438,2.347 ± 0.297,0.999 ± 0.007,1.426 ± 0.027,0.967 ± 0.012,3.099
